quezstresser.com;ipstresser.com;vbooter.org;webstresser.co;beststresser.com;databooter.com;booter.xyz;networkstresser.com;boot4free.com;freebooter.co;ragebooter.net;instabooter.com;critical-boot.com;ddos.city;exostress.in;defcon.pro;str3ssed.me;exitus.to;boot.lu;quantumbooter.net;ghoststresser.com;ts3booter.net;k-stress.pw;stressboss.net;layer-4.com;anonymous-stresser.net;wifistruggles.com;booter.ninja;free-boot.xyz;ragebooter.com;ddos-ip.com;downthem.org;netbreak.ec
25;0.5;2;350;1;5;150;80;;5;5;2;8;125;0;0;50;50;;2;50;8;;10;250;5;10;10;;5;;200;1
;1.5;6;;;10;200;120;;;10;10;12;;;;;500;;3;60;12;;7.2;;;50;20;;10;;100;5
;3;8;;;20;250;;;;20;15;80;;;;;;;4;;;;5.4;;;;;;20;;40;30
;;;;;30;300;;;;15;;100;;;;;;;5;;;;3.6;;;;;;15;;20;
;;;;;;;;;;;;;;;;;;;7;;;;2.4;;;;;;;;5;
;;;;;;;;;;;;;;;;;;;12;;;;1.8;;;;;;;;;
;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;
