quezstresser.com;ipstresser.com;vbooter.org;webstresser.co;beststresser.com;databooter.com;booter.xyz;networkstresser.com;boot4free.com;freebooter.co;ragebooter.net;instabooter.com;critical-boot.com;ddos.city;exostress.in;defcon.pro;str3ssed.me;exitus.to;boot.lu;quantumbooter.net;ghoststresser.com;ts3booter.net;k-stress.pw;stressboss.net;layer-4.com;anonymous-stresser.net;wifistruggles.com;booter.ninja;free-boot.xyz;ragebooter.com;ddos-ip.com;downthem.org;netbreak.ec
0;0;4;9;0;15;15.2;50;0;0;1;20;12.75;3;15;2;10;4.99;;5;4;19.99;;12.99;2;4.9;2.49;10;;1;;2.25;0
;5;9;15;;35;19.2;100;;;7;40;22.1;10;35.25;5;20;14.99;;10;10;29.99;;19.99;9;7;7.99;15;;7;;1.75;9
;14;25;19;;60;23.2;150;;;15;70;27.2;20;60;8;15;19.99;;10;15;39.99;;34.99;17;7.7;12.99;25;;15;;3.75;19
;27;19;25;;25;31.2;300;;;30;100;31.45;5;97.5;12;25;9.99;;20;20;69.99;;49.99;25;9.8;16.99;35;;30;;6.5;45
;48;19;29;;48;39.2;400;;;60;35;36.55;8;22.5;20;20;39.99;;20;30;119.99;;99.99;48;11.9;24.99;25;;60;;9.25;
;15;29;35;;100;47.2;600;;;100;70;40.8;12;48.75;25;45;49.99;;60;60;149.99;;119.99;70;12.6;34.99;35;;100;;12;
;42;75;39;;48;119.2;1000;;;50;125;45.05;16;90;28;50;50;;40;70;199.99;;149.99;54;14;63.99;55;;50;;3;
;81;79;39;;80;239.2;15;;;85;175;49.3;20;135;45;55;80;;60;90;399.99;;299.99;102;17.5;40;75;;85;;6;
;144;;45;;115;259.2;28;;;130;50;53.55;30;27;68;75;100;;10;100;;;;150;21;69;50;;130;;9.75;
;30;;49;;20;479.2;83;;;200;100;57.8;20;57;125;30;69;;20;200;;;;288;24.5;;100;;200;;13.75;
;85;5;49;;40;;121;;;300;150;25.5;28;112.5;200;60;;;20;24;;;;420;31.5;;150;;300;;18;
;162;;99;;70;;49;;;5;200;44.2;37;165;500;70;;;40;30;;;;;35;;200;;5;;9.75;
;288;;;;35;;26;;;10;35;54.4;50;27;;199;;;40;35;;;;;45.5;;;;10;;15.75;
;;;;;60;;39;;;15;50;62.9;60;58.05;;;;;80;40;;;;;59.5;;;;15;;22.5;
;;;;;100;;49;;;50;85;73.1;90;108;;;;;70;50;;;;;91;;;;50;;30;
;;;;;50;;67;;;125;150;24.65;;175.5;;;;;90;80;;;;;126;;;;125;;16.55;
