;tested_domain_name;ip
0;boot4free.com;104.27.182.246
1;boot4free.com;104.27.183.246
2;boot4free.com;104.27.182.246
3;boot4free.com;104.27.183.246
4;boot4free.com;173.245.58.138
5;boot4free.com;173.245.59.105
6;booter.ninja;104.24.96.147
7;booter.ninja;104.24.97.147
8;booter.ninja;104.24.96.147
9;booter.ninja;104.24.97.147
10;booter.ninja;173.245.58.86
11;booter.ninja;173.245.59.226
12;booter.xyz;104.25.81.114
13;booter.xyz;104.25.82.25
14;booter.xyz;104.28.26.6
15;booter.xyz;104.31.182.7
16;booter.xyz;108.162.192.129
17;booter.xyz;108.162.207.246
18;booter.xyz;198.41.130.95
19;booter.xyz;104.25.224.34
20;booter.xyz;104.25.225.34
21;booter.xyz;165.254.168.50
22;booter.xyz;173.245.58.192
23;booter.xyz;173.245.59.118
24;booter.xyz;74.201.154.201
25;booter.xyz;37.59.90.60
26;booter.xyz;51.254.119.204
27;connectionstresser.com;104.28.3.118
28;connectionstresser.com;127.69.91.210
29;connectionstresser.com;104.28.2.118
30;connectionstresser.com;104.28.3.118
31;connectionstresser.com;173.245.58.140
32;connectionstresser.com;173.245.59.128
33;critical-boot.com;104.24.100.82
34;critical-boot.com;104.24.101.82
35;critical-boot.com;104.24.100.82
36;critical-boot.com;217.146.91.36
37;critical-boot.com;46.166.188.69
38;critical-boot.com;104.24.100.82
39;critical-boot.com;104.24.101.82
40;critical-boot.com;173.245.58.233
41;critical-boot.com;173.245.59.186
42;cyberstresser.org;104.28.26.164
43;cyberstresser.org;104.28.27.164
44;cyberstresser.org;104.25.72.31
45;cyberstresser.org;185.61.137.60
46;cyberstresser.org;104.28.26.164
47;cyberstresser.org;104.28.27.164
48;cyberstresser.org;173.245.58.81
49;cyberstresser.org;173.245.59.209
50;cyberstresser.org;185.62.188.4
51;ddos.tools;208.109.255.48
52;ddos.tools;216.69.185.48
53;ddos.tools;50.63.202.41
54;ddos.tools;68.178.213.203
55;ddos.tools;68.178.213.243
56;ddos.tools;68.178.213.244
57;ddos.tools;68.178.213.37
58;ddos.tools;72.167.238.29
59;ddos.tools;72.167.238.32
60;defcon.pro;104.24.110.199
61;defcon.pro;162.222.171.206
