Bulk mode; xp05-as26.svcs.ord08.cymru.com [2017-02-04 17:27:22 +0000]
13335   | 104.31.6.187     | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.7.187     | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 127.0.0.1        | NA                  |    | other    |            | NA
NA      | 108.162.192.165  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.192.70   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.192.8    | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.192.80   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.194.38   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.194.41   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.194.5    | NA                  | US | arin     | 2011-10-28 | NA
13335   | 141.101.116.138  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 141.101.118.176  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - CloudFlare, Inc., US
19551   | 149.126.72.117   | 149.126.72.0/24     | IL | ripencc  | 2011-07-28 | INCAPSULA - Incapsula Inc, US
NA      | 173.245.60.109   | NA                  | US | arin     | 2010-12-28 | NA
NA      | 173.245.60.63    | NA                  | US | arin     | 2010-12-28 | NA
NA      | 199.27.134.13    | NA                  | US | arin     | 2010-08-19 | NA
NA      | 199.27.134.4     | NA                  | US | arin     | 2010-08-19 | NA
NA      | 199.27.134.51    | NA                  | US | arin     | 2010-08-19 | NA
19551   | 199.83.128.111   | 199.83.128.0/24     | US | arin     | 2011-01-14 | INCAPSULA - Incapsula Inc, US
19551   | 199.83.129.181   | 199.83.129.0/24     | US | arin     | 2011-01-14 | INCAPSULA - Incapsula Inc, US
19551   | 199.83.132.153   | 199.83.132.0/24     | US | arin     | 2011-01-14 | INCAPSULA - Incapsula Inc, US
20473   | 8.2.120.116      | 8.2.120.0/24        | US | arin     |            | AS-CHOOPA - Choopa, LLC, US
20473   | 8.2.120.122      | 8.2.120.0/24        | US | arin     |            | AS-CHOOPA - Choopa, LLC, US
15169   | 172.217.1.78     | 172.217.0.0/16      | US | arin     | 2012-04-16 | GOOGLE - Google Inc., US
13335   | 173.245.58.119   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.100   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
200019  | 176.123.8.84     | 176.123.0.0/19      | MD | ripencc  | 2012-07-26 | ASCLOUDATA , MD
200019  | 176.123.8.85     | 176.123.0.0/19      | MD | ripencc  | 2012-07-26 | ASCLOUDATA , MD
63949   | 104.237.149.169  | 104.237.144.0/21    | US | arin     | 2014-11-13 | LINODE-AP Linode, LLC, US
13335   | 162.158.62.124   | 162.158.60.0/22     | US | arin     | 2013-05-23 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.88.120    | 104.16.80.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.89.120    | 104.16.80.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.90.120    | 104.16.80.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.91.120    | 104.16.80.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
1299    | 195.12.226.194   | 195.12.224.0/19     | EU | ripencc  |            | TELIANET , SE
1299    | 195.12.231.33    | 195.12.224.0/19     | EU | ripencc  |            | TELIANET , SE
1273    | 195.59.54.225    | 195.59.0.0/16       | EU | ripencc  |            | CW Vodafone Group PLC, GB
34164   | 2.22.236.24      | 2.22.236.0/24       | EU | ripencc  | 2010-09-10 | AKAMAI-LON , GB
20940   | 23.200.86.215    | 23.200.86.0/23      | US | arin     | 2013-07-12 | AKAMAI-ASN1 , US
20940   | 23.212.108.103   | 23.212.108.0/23     | US | arin     | 2013-07-12 | AKAMAI-ASN1 , US
20940   | 23.212.109.41    | 23.212.108.0/23     | US | arin     | 2013-07-12 | AKAMAI-ASN1 , US
20940   | 23.215.60.82     | 23.215.60.0/23      | US | arin     | 2013-07-12 | AKAMAI-ASN1 , US
16509   | 52.85.77.29      | 52.85.76.0/22       | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
20940   | 72.246.43.11     | 72.246.43.0/24      | US | arin     | 2005-03-14 | AKAMAI-ASN1 , US
11854   | 75.98.17.19      | 75.98.17.0/24       | US | arin     | 2009-02-24 | ASN-INTERNAP-BLK - Internap Network Services Corporation, US
3320    | 80.150.2.160     | 80.144.0.0/13       | DE | ripencc  | 2001-08-06 | DTAG Internet service provider operations, DE
6453    | 80.231.241.56    | 80.231.0.0/16       | EU | ripencc  | 2002-03-20 | AS6453 - TATA COMMUNICATIONS (AMERICA) INC, US
1299    | 80.239.171.24    | 80.239.160.0/19     | EU | ripencc  | 2001-11-29 | TELIANET , SE
5511    | 81.52.160.56     | 81.52.160.0/20      | FR | ripencc  | 2002-03-25 | OPENTRANSIT , FR
5511    | 81.52.201.32     | 81.52.201.0/24      | FR | ripencc  | 2002-03-25 | OPENTRANSIT , FR
20940   | 88.221.134.19    | 88.221.134.0/23     | EU | ripencc  | 2006-02-01 | AKAMAI-ASN1 , US
20940   | 88.221.134.194   | 88.221.134.0/23     | EU | ripencc  | 2006-02-01 | AKAMAI-ASN1 , US
20940   | 88.221.134.209   | 88.221.134.0/23     | EU | ripencc  | 2006-02-01 | AKAMAI-ASN1 , US
5511    | 90.84.136.143    | 90.84.136.0/24      | FR | ripencc  | 2006-03-02 | OPENTRANSIT , FR
5511    | 90.84.55.48      | 90.84.48.0/20       | FR | ripencc  | 2006-03-02 | OPENTRANSIT , FR
5511    | 90.84.59.114     | 90.84.48.0/20       | FR | ripencc  | 2006-03-02 | OPENTRANSIT , FR
5511    | 90.84.59.89      | 90.84.48.0/20       | FR | ripencc  | 2006-03-02 | OPENTRANSIT , FR
5511    | 90.84.60.34      | 90.84.48.0/20       | FR | ripencc  | 2006-03-02 | OPENTRANSIT , FR
13335   | 104.16.87.120    | 104.16.80.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.8.172     | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.9.172     | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.192.89   | NA                  | US | arin     | 2011-10-28 | NA
13335   | 141.101.118.154  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - CloudFlare, Inc., US
19551   | 149.126.72.141   | 149.126.72.0/24     | IL | ripencc  | 2011-07-28 | INCAPSULA - Incapsula Inc, US
NA      | 173.245.60.90    | NA                  | US | arin     | 2010-12-28 | NA
13768   | 176.74.176.184   | 176.74.176.0/22     | GB | ripencc  | 2011-06-15 | PEER1 - Peer 1 Network (USA) Inc., US
16276   | 192.99.167.59    | 192.99.0.0/16       | CA | arin     | 2013-06-17 | OVH , FR
NA      | 199.27.134.103   | NA                  | US | arin     | 2010-08-19 | NA
19551   | 199.83.128.74    | 199.83.128.0/24     | US | arin     | 2011-01-14 | INCAPSULA - Incapsula Inc, US
13335   | 173.245.58.130   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.128   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.146.95    | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.147.95    | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.90    | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.168   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.182.246   | 104.27.176.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.183.246   | 104.27.176.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.138   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.105   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.175.198   | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
61387   | 159.253.0.110    | 159.253.0.0/24      | NL | ripencc  | 2011-09-20 | DENKERSICT-AS , NL
61387   | 159.253.0.251    | 159.253.0.0/24      | NL | ripencc  | 2011-09-20 | DENKERSICT-AS , NL
61387   | 159.253.0.64     | 159.253.0.0/24      | NL | ripencc  | 2011-09-20 | DENKERSICT-AS , NL
NA      | 185.149.24.100   | NA                  | NL | ripencc  | 2016-04-25 | NA
50673   | 185.53.162.18    | 185.53.160.0/22     | NL | ripencc  | 2014-04-11 | SERVERIUS-AS , NL
16276   | 37.59.26.94      | 37.59.0.0/16        | FR | ripencc  | 2012-01-16 | OVH , FR
42755   | 46.21.172.143    | 46.21.160.0/20      | NL | ripencc  | 2010-11-04 | DATAFIBER , NL
16276   | 5.135.114.108    | 5.135.0.0/16        | FR | ripencc  | 2012-07-06 | OVH , FR
13335   | 104.27.174.198   | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.105   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.224   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.96.147    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.97.147    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.86    | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.226   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.81.114    | 104.25.80.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.82.25     | 104.25.80.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
